"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"110000","武器大师","武器大师","精湛灵活地使用武器才算的上一个合格的战士","29","-1","0","0","无消耗","-1","0","0",,"1","1",,"精湛灵活地使用武器才算的上一个合格的战士","战士基础技能","1","战士基础技能","战士基础技能","战士基础技能","战士基础技能","战士基础技能","战士基础技能","战士基础技能","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","1","200","200","200","200","200","200"
"110001","幻影冲锋","幻影冲锋","火刃氏族的绝技之一，幻影般的攻击让战士在面临多个敌人时也游刃有余","224","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"火刃氏族的绝技之一，幻影般的攻击让战士在面临多个敌人时也游刃有余","攻击敌方多个目标，伤害逐个递减","2","攻击敌方多个目标，伤害逐个递减","攻击敌方多个目标，伤害逐个递减","攻击敌方多个目标，伤害逐个递减","攻击敌方多个目标，伤害逐个递减","攻击敌方多个目标，伤害逐个递减","攻击敌方多个目标，伤害逐个递减","攻击敌方多个目标，伤害逐个递减","增加使用时的伤害，40级可攻击3个目标","增加使用时的伤害，40级可攻击3个目标","增加使用时的伤害，70级可攻击4个目标","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","1","40","70","200","200","200","200"
"110002","嘲讽","嘲讽","嘿！孙子们！","316","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"嘿！孙子们！","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。","3","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。","增加降低对方伤害效果，60级可嘲讽4个目标                                                                                       ","增加降低对方伤害效果，60级可嘲讽4个目标                                                                                       ","增加降低对方伤害效果，60级可嘲讽4个目标                                                                                       ","增加降低对方伤害效果，60级可嘲讽4个目标                                                                                       ","增加降低对方伤害效果，60级可嘲讽4个目标                                                                                       ","增加降低对方伤害效果，60级可嘲讽4个目标                                                                                       ","增加降低对方伤害效果，60级可嘲讽4个目标                                                                                       ","增加降低对方伤害效果，60级可嘲讽4个目标                                                                                       ","1","200","200","200","200","200","200"
"110003","毁灭打击","毁灭打击","向敌人无情的宣泄怒火，狂风骤雨般连续攻击","206","100","0","10","消耗：$parameter1$%最大生命值","-1","0","0",,"480","1",,"向敌人无情的宣泄怒火，狂风骤雨般连续攻击","攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。","4","攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。","攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。","攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。","攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。","攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。","攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。","攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","增加使用时的伤害，永久增加角色的速度","1","200","200","200","200","200","200"
"110004","蓄力猛击","蓄力猛击","短暂的蓄力后，迅猛的冲锋打击，造成巨大伤害","195","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"短暂的蓄力后，迅猛的冲锋打击，造成巨大伤害","临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标","5","临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标","临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标","临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标","临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标","临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标","临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标","临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的控制抗性","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的控制抗性","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的控制抗性","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的控制抗性","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的控制抗性","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的控制抗性","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的控制抗性","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的控制抗性","1","200","200","200","200","200","200"
"110005","破甲","破甲","改变出招节奏令对手猝不及防，攻击的同时削弱对方护甲","184","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"改变出招节奏令对手猝不及防，攻击的同时削弱对方护甲","攻击目标同时降低对方物理防御和法术防御，持续4回合","6","攻击目标同时降低对方物理防御和法术防御，持续4回合","攻击目标同时降低对方物理防御和法术防御，持续4回合","攻击目标同时降低对方物理防御和法术防御，持续4回合","攻击目标同时降低对方物理防御和法术防御，持续4回合","攻击目标同时降低对方物理防御和法术防御，持续4回合","攻击目标同时降低对方物理防御和法术防御，持续4回合","攻击目标同时降低对方物理防御和法术防御，持续4回合","增加使用时的伤害，且降低对方防御效果，60级可持续5回合。永久增加角色的物理防御","增加使用时的伤害，且降低对方防御效果，60级可持续5回合。永久增加角色的物理防御","增加使用时的伤害，且降低对方防御效果，60级可持续5回合。永久增加角色的物理防御","增加使用时的伤害，且降低对方防御效果，60级可持续5回合。永久增加角色的物理防御","增加使用时的伤害，且降低对方防御效果，60级可持续5回合。永久增加角色的物理防御","增加使用时的伤害，且降低对方防御效果，60级可持续5回合。永久增加角色的物理防御","增加使用时的伤害，且降低对方防御效果，60级可持续5回合。永久增加角色的物理防御","增加使用时的伤害，且降低对方防御效果，60级可持续5回合。永久增加角色的物理防御","1","200","200","200","200","200","200"
"110006","钢铁之躯","钢铁之躯","将凯恩血蹄赋予的勇气注入衣甲，使其附加生命","173","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"将凯恩血蹄赋予的勇气注入衣甲，使其附加生命","制造一张附魔卷轴，该卷轴可给衣甲增加生命","7","制造一张附魔卷轴，该卷轴可给衣甲增加生命","制造一张附魔卷轴，该卷轴可给衣甲增加生命","制造一张附魔卷轴，该卷轴可给衣甲增加生命","制造一张附魔卷轴，该卷轴可给衣甲增加生命","制造一张附魔卷轴，该卷轴可给衣甲增加生命","制造一张附魔卷轴，该卷轴可给衣甲增加生命","制造一张附魔卷轴，该卷轴可给衣甲增加生命","增加附魔附加生命的效果","增加附魔附加生命的效果","增加附魔附加生命的效果","增加附魔附加生命的效果","增加附魔附加生命的效果","增加附魔附加生命的效果","增加附魔附加生命的效果","增加附魔附加生命的效果","1","200","200","200","200","200","200"
"110007","无敌斩","无敌斩","战士史诗技能，快速的在战场上移动，随机多次攻击可见的敌方单位。“这片名为战场的天空之下，即是我的领地，擅闯者必诛之！”","162","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"480","1",,"战士史诗技能，快速的在战场上移动，随机多次攻击可见的敌方单位。“这片名为战场的天空之下，即是我的领地，擅闯者必诛之！”","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","8","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","每次攻击造成50%伤害","每次攻击造成55%伤害","每次攻击造成60%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","1","2","3","4","5","6","7"
"120000","王者祝福","王者祝福","圣骑士被神祇祝福，天生具有领袖气质","151","-1","0","0","无消耗","-1","0","0",,"1","1",,"圣骑士被神祇祝福，天生具有领袖气质","圣骑士基础技能","1","圣骑士基础技能","圣骑士基础技能","圣骑士基础技能","圣骑士基础技能","圣骑士基础技能","圣骑士基础技能","圣骑士基础技能","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","1","200","200","200","200","200","200"
"120001","审判之锤","审判之锤","召唤审判之锤，给予渎神者应有的惩罚","327","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"召唤审判之锤，给予渎神者应有的惩罚","召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。","2","召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。","召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。","召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。","召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。","召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。","召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。","召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","1","200","200","200","200","200","200"
